,name,gradyear
0,Yagiz Aksoy,2011
1,Brad Bart,1996
2,Angel Chang,2015
3,Sheelagh Carpendale,1992
4,Leonid Chindelevitch,2006
5,Diana Cukierman,1989
6,James P. Delgrande,1977
7,Toby Donaldson,1998
8,John Edgar,1984
9,Martin Ester,1984
10,Brian Fraser,2002
11,Yasutaka Furukawa,2001
12,Uwe Glässer,1987
13,Mohamed Hefeeda,1994
14,Harinder Singh Khangura,1997
15,Anne Lavergne,1991
16,Maxwell Libbrecht,2011
17,Jiangchuan (Jc) Liu,1999
18,David Mitchell,1989
19,Jian Pei,1991
20,Fred Popowich,1982
21,Arrvindh Shriraman,2004
22,William (Nick) Sumner,2005
23,Manolis Savva,2009
24,Igor Shinkar,2014
25,Ping Tan,2000
26,Eugenia Ternovska,2002
27,Keval Vora,2017
28,Ke Wang,1984
29,Tianzheng Wang,2017
30,Kay C. Wiese,1991
31,Kangkang Yin,1997
32,Saba Alimadadi,2017
33,Greg Baker,1998
34,Andrei Bulatov,1991
35,Bobby Chan,2005
36,Binay Bhattacharya,1982
37,Ouldooz Baghban Karimi,
38,Robert D. Cameron,1977
39,Mo Chen,2011
40,Parmit Chilana,2005
41,Ryan C.N. D'Arcy,1996
42,Mark S. Drew,1970
43,Brian Funt,1971
44,Qianping Gu,1982
45,Ghassan Hamarneh,1995
46,Eugene Fiume,1981
47,Pavol Hell,1968
48,Valentine Kabanets,1993
49,Ramesh Krishnamurti,1987
50,Ze-Nian Li,1986
51,Angelica Lim,2008
52,Hang Ma,2012
53,Greg Mori,1999
54,Steven Pearce,1981
55,Joseph G. Peters,1974
56,Janice Regan,1979
57,Anoop Sarkar,1991
58,Thomas C. Shermer,1984
59,Oliver Schulte,1992
60,Richard Vaughan,1993
61,Jiannan Wang,2008
62,Cynthia Xie,
63,Richard (Hao) Zhang,1995
64,Ryan Shea,
